transaction_id,transaction_time,amount,hour_of_day,day_of_week,is_weekend,is_new_device,is_new_payee,spend_24h,spend_7d,distance_km,confirmed_fraud
1,2026-06-01T10:00:00Z,45,10,0,0,0,0,120,600,2,0
2,2026-06-02T12:00:00Z,80,12,1,0,0,0,200,900,5,0
3,2026-06-03T02:00:00Z,12500,2,2,0,1,1,14000,2000,900,1
4,2026-06-04T03:00:00Z,11000,3,3,0,1,1,13000,1500,800,1
5,2026-06-05T15:00:00Z,55,15,4,0,0,0,150,700,3,0
6,2026-06-06T01:00:00Z,14000,1,5,1,1,1,16000,1800,1000,1
7,2026-06-07T18:00:00Z,70,18,6,1,0,0,220,950,4,0
8,2026-06-08T04:00:00Z,10000,4,0,0,1,1,12000,1600,750,1
9,2026-06-09T11:00:00Z,90,11,1,0,0,0,250,1000,6,0
10,2026-06-10T02:00:00Z,13500,2,2,0,1,1,15500,1900,950,1
